incident_id,call_id,branch,risk_level,case_category,human_required,p0_signals,alcaldia,lat,lon,created_at
INC-000001,e3159d72-a363-4b76-8c15-e4c4a7c29ffa,low,1,medical,False,,alvaro_obregon,19.351561,-99.193397,2026-05-27T23:05:41.405650
INC-000002,d394a11c-2a31-4135-87e1-0ed1dc5ba62f,critical,9,social_support,True,"violencia_sexual,violencia_familiar,inconsciente",alvaro_obregon,19.362003,-99.203847,2026-06-04T19:55:41.405650
INC-000003,821f711a-183d-4c00-86a5-67b9e52dc5f0,critical,9,social_support,True,violencia_sexual,alvaro_obregon,19.36408,-99.211691,2026-05-14T05:40:41.405650
INC-000004,112a2acb-445e-44d2-8ea4-368d839496e0,critical,9,protection_civil,True,"inconsciente,sangrado_grave",alvaro_obregon,19.357777,-99.18429,2026-05-12T07:48:41.405650
INC-000005,65cded1a-ef90-4f5a-bb0d-8244740736c5,low,1,public_services,False,,alvaro_obregon,19.355265,-99.208306,2026-05-24T04:07:41.405650
INC-000006,6a3d3420-27df-494b-b9d6-0cfe23f75353,critical,8,victim_attention,True,violencia_familiar,alvaro_obregon,19.363083,-99.204639,2026-06-06T05:13:41.405650
INC-000007,165397c5-73ca-4edc-a466-5efe51a0433a,critical,8,social_support,True,"sangrado_grave,violencia_familiar,privacion_libertad",alvaro_obregon,19.364493,-99.212726,2026-05-28T18:03:41.405650
INC-000008,58873b16-ff20-4487-9bc7-ba4d5a883045,low,1,victim_attention,False,,alvaro_obregon,19.359958,-99.203532,2026-05-15T07:12:41.405650
INC-000009,7590011b-e177-450c-8524-5c2e4b3e2929,low,1,security,False,,alvaro_obregon,19.356796,-99.199104,2026-05-20T02:38:41.405650
INC-000010,4bc68efd-eca7-4f35-acaf-086dcff86cae,low,1,social_support,False,,alvaro_obregon,19.350099,-99.202135,2026-05-09T04:38:41.405650
INC-000011,32ff5080-0499-4f6f-a72c-b1f4ffb83a32,critical,8,medical,True,inconsciente,azcapotzalco,19.495502,-99.19709,2026-05-08T21:22:41.405650
INC-000012,532f09ca-6983-4557-ab7e-f85fe857176a,low,1,public_services,False,,azcapotzalco,19.482652,-99.177182,2026-05-09T12:46:41.405650
INC-000013,cf53519e-ee81-41b7-8bbb-38a6749e6c0d,low,1,victim_attention,False,,azcapotzalco,19.488019,-99.160761,2026-06-01T14:34:41.405650
INC-000014,f338acb9-2af3-4692-9364-bbca91314629,low,1,public_services,False,,azcapotzalco,19.501757,-99.183855,2026-05-10T14:26:41.405650
INC-000015,bcf57128-8e3e-4f4f-9954-ad59332ec7e3,critical,9,security,True,"incendio_activo,dificultad_respiratoria",azcapotzalco,19.506261,-99.174266,2026-05-20T14:38:41.405650
INC-000016,8214a9c7-be9a-4e85-8ee4-eaef021531f5,low,1,social_support,False,,azcapotzalco,19.495713,-99.174794,2026-06-03T10:49:41.405650
INC-000017,1f4b917c-a416-40d7-bc00-cbc758b961bc,critical,8,victim_attention,True,arma_fuego,azcapotzalco,19.467616,-99.200274,2026-05-16T00:02:41.405650
INC-000018,bba4f2f9-bd88-4af0-8a10-edd5b5b03aff,low,1,security,False,,azcapotzalco,19.504675,-99.186451,2026-05-27T09:16:41.405650
INC-000019,4234c2ad-0e98-4c49-87e7-543f2a27cfb5,low,1,social_support,False,,azcapotzalco,19.494271,-99.193687,2026-05-18T07:16:41.405650
INC-000020,3cac1867-7eea-4c8c-96d3-5ddd19af9e68,low,1,public_services,False,,azcapotzalco,19.503399,-99.194606,2026-05-11T17:44:41.405650
INC-000021,e06e8cc3-083d-42b3-b922-dbccdcdb2a8e,mid,5,protection_civil,True,,benito_juarez,19.354517,-99.159189,2026-05-16T19:44:41.405650
INC-000022,17f1e92b-9e34-487b-9bb9-f41fd1a495ab,critical,9,social_support,True,"incendio_activo,dificultad_respiratoria",benito_juarez,19.39219,-99.164324,2026-05-24T09:41:41.405650
INC-000023,40e29f2c-63d1-4e92-90c8-82c493aa909e,low,1,protection_civil,False,,benito_juarez,19.37995,-99.152329,2026-05-23T11:30:41.405650
INC-000024,3c8e4eae-2780-4b63-9936-981fdf0554e5,low,1,protection_civil,False,,benito_juarez,19.370738,-99.143596,2026-05-10T14:23:41.405650
INC-000025,878fd887-f704-4b64-baa2-789e466beac6,critical,8,victim_attention,True,"dificultad_respiratoria,sangrado_grave",benito_juarez,19.361011,-99.161434,2026-05-22T16:01:41.405650
INC-000026,d51ee2b7-de7b-4b52-88e4-e1f2b26e27b2,low,1,social_support,False,,benito_juarez,19.38969,-99.163738,2026-05-13T21:33:41.405650
INC-000027,ec36f990-19fb-4fc2-b1bc-01daa04097e8,mid,5,security,True,,benito_juarez,19.378443,-99.156032,2026-05-10T08:45:41.405650
INC-000028,17edaeae-9b62-4d61-8474-cd5f4d4b43c6,low,1,public_services,False,,benito_juarez,19.361283,-99.139963,2026-05-29T09:58:41.405650
INC-000029,5b851269-de85-496b-a183-b502a4d45985,low,1,medical,False,,benito_juarez,19.367141,-99.175388,2026-05-23T15:18:41.405650
INC-000030,906e527a-6ce9-4252-b046-07d41c8fe3ee,mid,5,social_support,True,,benito_juarez,19.347752,-99.181687,2026-05-20T04:13:41.405650
INC-000031,e1eb9173-ccf7-4335-8d0b-a9c8dcc6a1d5,low,1,victim_attention,False,,coyoacan,19.346985,-99.13253,2026-05-08T03:20:41.405650
INC-000032,fe26cacb-1ce3-42f4-98da-a2dcbd0f1a75,low,1,security,False,,coyoacan,19.343019,-99.124768,2026-05-22T09:37:41.405650
INC-000033,6e994d5d-4ce8-4d21-be2a-6f0ccfc2b9f6,low,1,victim_attention,False,,coyoacan,19.370791,-99.118896,2026-06-06T00:00:41.405650
INC-000034,74dd1735-db46-4b32-903a-fa8635b0572c,low,1,victim_attention,False,,coyoacan,19.347275,-99.148019,2026-06-02T18:37:41.405650
INC-000035,dd4adacf-d7c5-4e98-9221-e877b6419389,low,1,protection_civil,False,,coyoacan,19.362049,-99.122239,2026-05-28T13:52:41.405650
INC-000036,a581b5b5-f704-4d2f-b244-03eafac1e46f,low,1,protection_civil,False,,coyoacan,19.366809,-99.158681,2026-05-13T11:48:41.405650
INC-000037,dfe04e90-9612-4d87-80da-df0087cabfa7,low,1,victim_attention,False,,coyoacan,19.362719,-99.147511,2026-05-16T12:31:41.405650
INC-000038,694f57fa-5337-4c68-8a4e-d3a5dce91674,low,1,public_services,False,,coyoacan,19.356402,-99.118867,2026-05-17T09:12:41.405650
INC-000039,79bcbaac-2ed6-402f-a874-9384914baede,low,1,social_support,False,,coyoacan,19.357072,-99.118422,2026-05-21T09:01:41.405650
INC-000040,e06b711d-f3c4-4b1d-8cb7-c0e6cc22f07d,low,1,medical,False,,coyoacan,19.348337,-99.126224,2026-06-02T23:29:41.405650
INC-000041,0dc58683-9c42-443d-8497-cd3a2ac9ca4e,mid,5,victim_attention,True,,cuajimalpa,19.340897,-99.30657,2026-05-13T03:53:41.405650
INC-000042,2afb9501-6d60-4a07-a890-f74c53e444d5,low,1,security,False,,cuajimalpa,19.368505,-99.320006,2026-06-02T07:07:41.405650
INC-000043,1703205b-0a23-4c44-b2a9-c0d2d924fb7f,critical,8,social_support,True,"arma_fuego,violencia_familiar,sangrado_grave",cuajimalpa,19.363847,-99.316798,2026-06-04T19:47:41.405650
INC-000044,d9f8703d-3b60-48e1-bde6-7fbb061eb3e8,mid,5,public_services,True,,cuajimalpa,19.379196,-99.297607,2026-05-24T13:20:41.405650
INC-000045,d5ea631e-5f51-4112-a4cd-96316d62684f,low,1,medical,False,,cuajimalpa,19.354437,-99.305216,2026-06-04T13:52:41.405650
INC-000046,ee9345d1-11bd-4e66-8dc1-1ed2cf3ea508,low,1,public_services,False,,cuajimalpa,19.375255,-99.310412,2026-05-19T20:21:41.405650
INC-000047,c9d4a3c6-119f-43b5-9bc4-ab5babb2a9f7,low,1,protection_civil,False,,cuajimalpa,19.350777,-99.309149,2026-05-15T14:33:41.405650
INC-000048,4fa3ba4b-5f77-4b3e-9905-27f754f85e2c,mid,5,medical,True,,cuajimalpa,19.369297,-99.312841,2026-05-24T17:13:41.405650
INC-000049,8d7abd65-46bc-4052-9d07-2ecb59e7c45b,critical,8,victim_attention,True,"inconsciente,sangrado_grave",cuajimalpa,19.37677,-99.311678,2026-05-12T04:55:41.405650
INC-000050,3a6a73d4-9ddd-4043-9203-c79c7b5e4c1a,mid,5,public_services,True,,cuajimalpa,19.351311,-99.312171,2026-05-24T23:59:41.405650
