alcaldia,alcaldia_norm,digital_access_index,percentile
Álvaro Obregón,alvaro_obregon,0.68,0.56
Azcapotzalco,azcapotzalco,0.72,0.69
Benito Juárez,benito_juarez,0.89,0.94
Coyoacán,coyoacan,0.85,0.88
Cuajimalpa de Morelos,cuajimalpa,0.78,0.75
Cuauhtémoc,cuauhtemoc,0.82,0.81
Gustavo A. Madero,gustavo_a_madero,0.61,0.44
Iztacalco,iztacalco,0.65,0.50
Iztapalapa,iztapalapa,0.52,0.25
La Magdalena Contreras,magdalena_contreras,0.58,0.38
Miguel Hidalgo,miguel_hidalgo,0.91,1.00
Milpa Alta,milpa_alta,0.45,0.06
Tláhuac,tlahuac,0.48,0.13
Tlalpan,tlalpan,0.74,0.69
Venustiano Carranza,venustiano_carranza,0.63,0.44
Xochimilco,xochimilco,0.55,0.31
